Rooms,Type,Price,Method,Distance,Bathroom,Car,Landsize,BuildingArea,CouncilArea,Regionname,Propertycount,Suburb_Encoded,SellerG_Encoded
4,0,1542000.0,1,2.5,3.0,1.0,0.0,126.0,31,2,4019.0,1060366.0714285714,1370401.7857142857
3,0,1290000.0,1,2.5,2.0,2.0,147.0,18.0,31,2,4019.0,1060366.0714285714,1018521.6284987277
3,0,1290000.0,1,2.5,1.0,1.0,168.0,124.0,31,2,4019.0,1060366.0714285714,1018521.6284987277
1,2,470000.0,1,2.5,1.0,1.0,0.0,50.0,31,2,4019.0,1060366.0714285714,1014976.4536741214
2,0,1180000.0,1,2.5,1.0,0.0,162.0,91.0,31,2,4019.0,1060366.0714285714,1368163.4483282676
3,0,1195000.0,3,2.5,2.0,1.0,120.0,128.0,31,2,4019.0,1060366.0714285714,1368163.4483282676
2,0,1012500.0,1,2.5,1.0,0.0,182.0,82.0,31,2,4019.0,1060366.0714285714,1014976.4536741214
2,0,1030000.0,1,2.5,1.0,1.0,172.0,81.0,31,2,4019.0,1060366.0714285714,1018521.6284987277
3,1,840000.0,0,13.5,2.0,1.0,303.0,225.0,21,6,3464.0,756656.7313432836,1014976.4536741214
3,0,730000.0,4,13.5,2.0,1.0,0.0,145.0,21,6,3464.0,756656.7313432836,1014976.4536741214
3,0,770000.0,3,13.5,2.0,1.0,0.0,145.0,21,6,3464.0,756656.7313432836,1014976.4536741214
2,0,603000.0,1,13.5,1.0,1.0,272.0,84.0,21,6,3464.0,756656.7313432836,1014976.4536741214
3,1,700000.0,1,13.5,2.0,2.0,239.0,134.0,21,6,3464.0,756656.7313432836,835778.3625730994
3,0,600000.0,1,13.5,1.0,1.0,290.0,116.0,21,6,3464.0,756656.7313432836,843333.3333333334
2,2,500000.0,4,13.5,1.0,1.0,168.0,86.0,21,6,3464.0,756656.7313432836,876303.1414441147
3,0,720000.0,1,13.5,1.0,1.0,620.0,126.0,21,6,3464.0,756656.7313432836,876303.1414441147
4,0,785000.0,1,13.5,1.0,2.0,597.0,127.0,21,6,3464.0,756656.7313432836,979285.7142857143
6,0,725000.0,3,13.5,3.0,2.0,976.0,186.0,21,6,3464.0,756656.7313432836,876303.1414441147
2,1,450000.0,1,13.5,1.0,1.0,110.0,90.0,21,6,3464.0,756656.7313432836,876303.1414441147
2,2,515000.0,1,13.5,1.0,1.0,141.0,73.0,21,6,3464.0,756656.7313432836,876303.1414441147
2,2,530000.0,1,13.5,1.0,1.0,120.0,94.0,21,6,3464.0,756656.7313432836,1014976.4536741214
3,0,895000.0,0,13.5,1.0,6.0,1063.0,133.0,21,6,3464.0,756656.7313432836,1000095.0909090909
3,0,805000.0,1,13.5,1.0,1.0,0.0,105.0,21,6,3464.0,756656.7313432836,1014976.4536741214
3,2,752000.0,1,13.5,1.0,1.0,265.0,130.0,21,6,3464.0,756656.7313432836,1014976.4536741214
2,2,440000.0,1,13.5,1.0,1.0,192.0,126.0,21,6,3464.0,756656.7313432836,876303.1414441147
5,0,755000.0,0,13.5,2.0,2.0,596.0,126.0,21,6,3464.0,756656.7313432836,755000.0
3,1,700000.0,0,13.5,2.0,2.0,165.0,133.0,21,6,3464.0,756656.7313432836,835778.3625730994
3,0,830000.0,1,13.5,1.0,2.0,971.0,113.0,21,6,3464.0,756656.7313432836,876303.1414441147
2,2,462500.0,1,13.5,1.0,1.0,164.0,126.0,21,6,3464.0,756656.7313432836,876303.1414441147
3,0,670000.0,3,13.5,2.0,2.0,657.0,126.0,21,6,3464.0,756656.7313432836,876303.1414441147
2,0,675000.0,1,13.5,1.0,1.0,612.0,100.0,21,6,3464.0,756656.7313432836,876303.1414441147
3,0,1042000.0,1,13.5,2.0,5.0,612.0,174.0,21,6,3464.0,756656.7313432836,1014976.4536741214
3,0,910000.0,1,13.5,1.0,1.0,775.0,126.0,21,6,3464.0,756656.7313432836,1078294.8717948718
4,0,773000.0,1,13.5,3.0,4.0,531.0,309.0,21,6,3464.0,756656.7313432836,835778.3625730994
3,0,810000.0,0,13.5,3.0,2.0,555.0,192.0,21,6,3464.0,756656.7313432836,876303.1414441147
3,0,715000.0,1,13.5,2.0,2.0,422.0,126.0,21,6,3464.0,756656.7313432836,1000095.0909090909
3,0,790000.0,1,13.5,1.0,3.0,614.0,126.0,21,6,3464.0,756656.7313432836,1014976.4536741214
3,1,540000.0,3,13.5,2.0,1.0,161.0,101.0,21,6,3464.0,756656.7313432836,1014976.4536741214
3,1,825000.0,3,13.5,2.0,1.0,293.0,102.0,21,6,3464.0,756656.7313432836,876303.1414441147
3,0,685000.0,1,13.5,1.0,1.0,579.0,113.0,21,6,3464.0,756656.7313432836,876303.1414441147
3,0,805000.0,1,13.5,1.0,1.0,623.0,126.0,21,6,3464.0,756656.7313432836,876303.1414441147
2,2,510000.0,1,13.5,1.0,1.0,141.0,76.0,21,6,3464.0,756656.7313432836,1014976.4536741214
3,0,612000.0,1,13.5,2.0,1.0,212.0,126.0,21,6,3464.0,756656.7313432836,1014976.4536741214
3,0,662000.0,1,13.5,1.0,2.0,612.0,126.0,21,6,3464.0,756656.7313432836,835778.3625730994
4,0,978000.0,1,13.5,3.0,2.0,532.0,126.0,21,6,3464.0,756656.7313432836,1014976.4536741214
3,0,720000.0,0,13.5,1.0,1.0,585.0,126.0,21,6,3464.0,756656.7313432836,1014976.4536741214
4,0,765000.0,1,13.5,1.0,2.0,509.0,126.0,21,6,3464.0,756656.7313432836,836318.1818181818
4,0,900000.0,1,13.5,2.0,3.0,628.0,146.0,21,6,3464.0,756656.7313432836,790687.5
2,0,1275000.0,1,3.3,1.0,0.0,120.0,82.0,25,5,3280.0,1941355.072463768,954727.2485004284
2,0,1455000.0,1,3.3,1.0,0.0,159.0,126.0,25,5,3280.0,1941355.072463768,709904.7619047619
3,0,2850000.0,0,3.3,2.0,0.0,211.0,198.0,25,5,3280.0,1941355.072463768,1232420.7231012657
3,0,1850000.0,1,3.3,2.0,0.0,128.0,133.0,25,5,3280.0,1941355.072463768,1230138.0753138075
2,0,1436000.0,1,3.3,1.0,0.0,130.0,81.0,25,5,3280.0,1941355.072463768,1504065.2173913044
2,0,1110000.0,1,3.3,1.0,0.0,147.0,126.0,25,5,3280.0,1941355.072463768,1888843.9119878605
2,0,1550000.0,1,3.3,1.0,1.0,167.0,126.0,25,5,3280.0,1941355.072463768,2453750.0
4,0,2300000.0,1,3.3,2.0,1.0,153.0,180.0,25,5,3280.0,1941355.072463768,1888843.9119878605
3,1,1550000.0,4,3.3,2.0,2.0,718.0,126.0,25,5,3280.0,1941355.072463768,1888843.9119878605
3,0,1800000.0,4,3.3,2.0,1.0,132.0,159.0,25,5,3280.0,1941355.072463768,1230138.0753138075
2,0,2120000.0,1,3.3,1.0,1.0,199.0,107.0,25,5,3280.0,1941355.072463768,1230138.0753138075
3,0,1800000.0,4,3.3,1.0,1.0,253.0,126.0,25,5,3280.0,1941355.072463768,1320576.923076923
3,0,1800000.0,1,3.3,2.0,1.0,90.0,122.0,25,5,3280.0,1941355.072463768,1888843.9119878605
2,0,1810000.0,0,3.3,1.0,0.0,240.0,126.0,25,5,3280.0,1941355.072463768,1230138.0753138075
3,0,2615000.0,1,3.3,2.0,1.0,177.0,181.0,25,5,3280.0,1941355.072463768,1320576.923076923
5,0,2100000.0,1,3.3,2.0,1.0,237.0,126.0,25,5,3280.0,1941355.072463768,1230138.0753138075
3,0,1300000.0,1,3.3,1.0,0.0,129.0,126.0,25,5,3280.0,1941355.072463768,954727.2485004284
3,0,1370000.0,1,3.3,2.0,2.0,0.0,85.0,25,5,3280.0,1941355.072463768,1230138.0753138075
2,0,1000000.0,1,3.3,1.0,0.0,288.0,126.0,25,5,3280.0,1941355.072463768,1320576.923076923
3,0,2575000.0,1,3.3,2.0,1.0,228.0,126.0,25,5,3280.0,1941355.072463768,1230138.0753138075
2,0,1322500.0,1,3.3,1.0,0.0,149.0,98.0,25,5,3280.0,1941355.072463768,1230138.0753138075
2,0,1562500.0,1,3.3,1.0,0.0,141.0,83.0,25,5,3280.0,1941355.072463768,1230138.0753138075
3,0,2000000.0,4,3.3,2.0,1.0,211.0,147.0,25,5,3280.0,1941355.072463768,1504065.2173913044
3,0,1900000.0,1,3.3,1.0,0.0,209.0,126.0,25,5,3280.0,1941355.072463768,1230138.0753138075
3,0,3010000.0,1,3.3,2.0,0.0,147.0,146.0,25,5,3280.0,1941355.072463768,1230138.0753138075
4,0,2800000.0,4,3.3,3.0,1.0,327.0,254.0,25,5,3280.0,1941355.072463768,1320576.923076923
2,2,647000.0,1,3.3,1.0,1.0,0.0,126.0,25,5,3280.0,1941355.072463768,1230138.0753138075
3,0,2100000.0,3,3.3,1.0,1.0,120.0,123.0,25,5,3280.0,1941355.072463768,1888843.9119878605
3,0,2000000.0,0,3.3,1.0,1.0,238.0,131.0,25,5,3280.0,1941355.072463768,1888843.9119878605
1,2,442500.0,1,3.3,1.0,0.0,0.0,34.0,25,5,3280.0,1941355.072463768,1888843.9119878605
4,0,4735000.0,1,3.3,2.0,1.0,330.0,207.0,25,5,3280.0,1941355.072463768,1888843.9119878605
2,0,1340000.0,1,3.3,1.0,0.0,136.0,126.0,25,5,3280.0,1941355.072463768,1230138.0753138075
3,0,1801000.0,1,3.3,1.0,1.0,202.0,126.0,25,5,3280.0,1941355.072463768,954727.2485004284
3,0,1532000.0,1,3.3,3.0,1.0,0.0,126.0,25,5,3280.0,1941355.072463768,1017457.7792207792
3,0,3755000.0,1,3.3,2.0,2.0,325.0,126.0,25,5,3280.0,1941355.072463768,1230138.0753138075
4,0,2140000.0,1,3.3,2.0,1.0,183.0,145.0,25,5,3280.0,1941355.072463768,1230138.0753138075
2,0,1750000.0,1,3.3,1.0,1.0,162.0,126.0,25,5,3280.0,1941355.072463768,1888843.9119878605
2,0,980000.0,1,3.3,1.0,0.0,79.0,68.0,25,5,3280.0,1941355.072463768,1230138.0753138075
3,0,2030000.0,1,3.3,2.0,0.0,152.0,126.0,25,5,3280.0,1941355.072463768,954727.2485004284
3,0,1740000.0,0,3.3,2.0,2.0,147.0,134.0,25,5,3280.0,1941355.072463768,1888843.9119878605
3,0,2800000.0,4,3.3,3.0,1.0,0.0,126.0,25,5,3280.0,1941355.072463768,1232420.7231012657
1,0,985000.0,1,3.3,1.0,0.0,81.0,54.0,25,5,3280.0,1941355.072463768,1888843.9119878605
4,0,2000000.0,1,6.4,2.0,4.0,853.0,263.0,6,2,2211.0,1400823.5294117648,780750.0
3,0,1110000.0,1,6.4,2.0,2.0,208.0,126.0,31,2,2211.0,1400823.5294117648,1368163.4483282676
3,0,1492000.0,1,6.4,2.0,2.0,411.0,126.0,6,2,2211.0,1400823.5294117648,1368163.4483282676
4,0,1717500.0,1,6.4,2.0,1.0,599.0,203.0,6,2,2211.0,1400823.5294117648,1370401.7857142857
5,0,2840000.0,1,6.4,4.0,4.0,809.0,165.0,6,2,2211.0,1400823.5294117648,1014976.4536741214
2,2,525500.0,1,6.4,1.0,1.0,88.0,60.0,6,2,2211.0,1400823.5294117648,1087157.5918367347
2,1,805000.0,1,6.4,2.0,3.0,155.0,140.0,6,2,2211.0,1400823.5294117648,1087157.5918367347
2,2,465000.0,1,6.4,1.0,1.0,0.0,126.0,6,2,2211.0,1400823.5294117648,1073789.4144144144
3,0,2000000.0,0,6.4,3.0,2.0,686.0,126.0,6,2,2211.0,1400823.5294117648,954727.2485004284
3,0,1540000.0,1,6.4,1.0,2.0,592.0,126.0,6,2,2211.0,1400823.5294117648,1014976.4536741214
2,2,820000.0,1,6.4,1.0,1.0,183.0,126.0,6,2,2211.0,1400823.5294117648,1014976.4536741214
4,0,1830000.0,1,6.4,2.0,2.0,606.0,112.0,6,2,2211.0,1400823.5294117648,1014976.4536741214
4,0,2100000.0,1,6.4,2.0,2.0,575.0,271.0,6,2,2211.0,1400823.5294117648,1014976.4536741214
3,0,865000.0,3,6.4,1.0,1.0,180.0,131.0,6,2,2211.0,1400823.5294117648,954727.2485004284
2,2,390000.0,4,6.4,1.0,1.0,0.0,60.0,6,2,2211.0,1400823.5294117648,1014976.4536741214
2,1,650000.0,3,6.4,1.0,0.0,0.0,126.0,31,2,2211.0,1400823.5294117648,780750.0
2,2,512000.0,1,6.4,1.0,1.0,0.0,61.0,6,2,2211.0,1400823.5294117648,724269.7247706422
3,0,1165000.0,1,6.4,1.0,2.0,979.0,126.0,31,2,2211.0,1400823.5294117648,876303.1414441147
4,0,1900000.0,3,6.4,2.0,2.0,556.0,272.0,31,2,2211.0,1400823.5294117648,1073789.4144144144
3,0,1485000.0,3,6.4,0.0,0.0,597.0,126.0,6,2,2211.0,1400823.5294117648,1073789.4144144144
4,0,1950000.0,1,6.4,2.0,3.0,589.0,210.0,6,2,2211.0,1400823.5294117648,1368163.4483282676
3,0,520000.0,4,13.8,2.0,1.0,352.0,242.0,10,6,5301.0,834830.4054054054,1230138.0753138075
5,0,1525000.0,1,13.8,3.0,3.0,729.0,268.0,10,6,5301.0,834830.4054054054,1230138.0753138075
2,1,720000.0,1,13.8,1.0,2.0,292.0,125.0,10,6,5301.0,834830.4054054054,954727.2485004284
3,0,1120000.0,1,13.8,1.0,2.0,506.0,120.0,10,6,5301.0,834830.4054054054,887482.7586206896
4,0,780000.0,0,13.8,1.0,4.0,655.0,126.0,10,6,5301.0,834830.4054054054,835755.9861111111
4,0,1780000.0,3,13.8,3.0,6.0,1057.0,220.0,10,6,5301.0,834830.4054054054,1230138.0753138075
3,2,630000.0,1,13.8,1.0,2.0,311.0,94.0,10,6,5301.0,834830.4054054054,887482.7586206896
2,2,406000.0,3,13.8,1.0,1.0,65.0,126.0,10,6,5301.0,834830.4054054054,954727.2485004284
3,0,660000.0,4,13.8,1.0,1.0,602.0,123.0,10,6,5301.0,834830.4054054054,1230138.0753138075
3,0,683500.0,1,13.8,1.0,1.0,530.0,126.0,10,6,5301.0,834830.4054054054,1230138.0753138075
2,2,580000.0,1,13.8,1.0,1.0,225.0,93.0,10,6,5301.0,834830.4054054054,887482.7586206896
3,0,1335000.0,1,13.8,1.0,4.0,777.0,22.0,10,6,5301.0,834830.4054054054,954727.2485004284
3,1,800000.0,3,13.8,2.0,2.0,280.0,126.0,10,6,5301.0,834830.4054054054,954727.2485004284
2,2,510000.0,1,13.8,1.0,1.0,127.0,76.0,10,6,5301.0,834830.4054054054,988164.0
4,0,1070000.0,1,13.8,2.0,2.0,695.0,126.0,10,6,5301.0,834830.4054054054,887482.7586206896
2,2,425000.0,1,13.8,1.0,2.0,115.0,57.0,10,6,5301.0,834830.4054054054,954727.2485004284
3,2,605000.0,1,13.8,2.0,2.0,230.0,126.0,10,6,5301.0,834830.4054054054,882018.9300411523
3,1,705000.0,1,13.8,2.0,2.0,197.0,152.0,10,6,5301.0,834830.4054054054,954727.2485004284
2,2,391000.0,3,13.8,1.0,1.0,0.0,65.0,10,6,5301.0,834830.4054054054,1230138.0753138075
2,2,440000.0,3,13.8,1.0,1.0,0.0,126.0,10,6,5301.0,834830.4054054054,954727.2485004284
4,0,845000.0,1,13.8,1.0,2.0,745.0,130.0,10,6,5301.0,834830.4054054054,954727.2485004284
3,1,743000.0,3,13.8,2.0,2.0,211.0,176.0,10,6,5301.0,834830.4054054054,926446.4285714285
3,2,730000.0,3,13.8,2.0,1.0,69.0,141.0,10,6,5301.0,834830.4054054054,887482.7586206896
3,0,635000.0,1,13.8,1.0,4.0,625.0,126.0,10,6,5301.0,834830.4054054054,835755.9861111111
2,2,620000.0,3,13.8,1.0,1.0,168.0,126.0,10,6,5301.0,834830.4054054054,954727.2485004284
2,2,447000.0,1,13.8,1.0,1.0,137.0,77.0,10,6,5301.0,834830.4054054054,670423.0769230769
3,2,730000.0,3,13.8,2.0,1.0,70.0,126.0,10,6,5301.0,834830.4054054054,887482.7586206896
3,0,678000.0,1,13.8,1.0,2.0,606.0,87.0,10,6,5301.0,834830.4054054054,954727.2485004284
2,2,580000.0,0,13.8,2.0,1.0,175.0,76.0,10,6,5301.0,834830.4054054054,1018521.6284987277
3,0,712000.0,1,13.8,1.0,2.0,363.0,126.0,10,6,5301.0,834830.4054054054,954727.2485004284
3,0,840000.0,3,13.8,2.0,2.0,534.0,136.0,10,6,5301.0,834830.4054054054,1230138.0753138075
3,0,980000.0,1,13.8,1.0,2.0,724.0,126.0,10,6,5301.0,834830.4054054054,887482.7586206896
3,1,605100.0,1,13.8,2.0,0.0,265.0,126.0,10,6,5301.0,834830.4054054054,954727.2485004284
3,0,880000.0,0,13.8,3.0,1.0,577.0,126.0,10,6,5301.0,834830.4054054054,887482.7586206896
3,2,577000.0,1,13.8,2.0,1.0,205.0,113.0,10,6,5301.0,834830.4054054054,1042164.8648648649
4,0,1030000.0,1,13.8,1.0,0.0,797.0,126.0,10,6,5301.0,834830.4054054054,887482.7586206896
3,2,605000.0,1,13.8,1.0,2.0,181.0,126.0,10,6,5301.0,834830.4054054054,887482.7586206896
3,0,753000.0,1,13.8,2.0,2.0,529.0,126.0,10,6,5301.0,834830.4054054054,887482.7586206896
2,0,857000.0,3,13.8,2.0,1.0,675.0,100.0,10,6,5301.0,834830.4054054054,954727.2485004284
3,0,1500000.0,1,13.8,1.0,1.0,929.0,126.0,10,6,5301.0,834830.4054054054,887482.7586206896
3,2,730000.0,3,13.8,2.0,1.0,70.0,3.0,10,6,5301.0,834830.4054054054,887482.7586206896
3,0,900000.0,1,13.8,1.0,4.0,697.0,126.0,10,6,5301.0,834830.4054054054,835755.9861111111
3,0,740000.0,1,13.8,1.0,2.0,604.0,126.0,10,6,5301.0,834830.4054054054,1230138.0753138075
4,0,931000.0,1,13.8,2.0,3.0,532.0,126.0,10,6,5301.0,834830.4054054054,835755.9861111111
2,0,535600.0,3,13.8,1.0,1.0,154.0,91.0,10,6,5301.0,834830.4054054054,613866.6666666666
5,0,1085000.0,1,11.1,3.0,6.0,592.0,251.0,10,6,5132.0,800830.3571428572,666447.3684210526
3,0,781000.0,1,11.1,1.0,2.0,533.0,117.0,10,6,5132.0,800830.3571428572,882018.9300411523
3,0,750000.0,3,11.1,1.0,3.0,554.0,126.0,10,6,5132.0,800830.3571428572,882018.9300411523
2,1,421000.0,1,11.1,1.0,1.0,77.0,77.0,10,6,5132.0,800830.3571428572,954727.2485004284
3,0,1405000.0,1,11.1,1.0,3.0,655.0,126.0,10,6,5132.0,800830.3571428572,835755.9861111111
3,0,683000.0,1,11.1,1.0,2.0,534.0,167.0,10,6,5132.0,800830.3571428572,666447.3684210526
3,0,623000.0,1,11.1,1.0,3.0,540.0,126.0,10,6,5132.0,800830.3571428572,835755.9861111111
3,0,720000.0,4,11.1,2.0,1.0,0.0,130.0,10,6,5132.0,800830.3571428572,1230138.0753138075
3,0,588000.0,1,11.1,1.0,1.0,328.0,118.0,10,6,5132.0,800830.3571428572,1042164.8648648649
3,0,710000.0,0,11.1,1.0,3.0,540.0,116.0,10,6,5132.0,800830.3571428572,988164.0
4,0,875000.0,3,11.1,1.0,4.0,559.0,169.0,10,6,5132.0,800830.3571428572,882018.9300411523
3,0,700000.0,4,11.1,1.0,3.0,554.0,126.0,10,6,5132.0,800830.3571428572,882018.9300411523
2,1,640000.0,1,11.1,1.0,1.0,252.0,126.0,10,6,5132.0,800830.3571428572,1042164.8648648649
4,0,650000.0,3,11.1,1.0,4.0,558.0,126.0,10,6,5132.0,800830.3571428572,1042164.8648648649
3,0,675000.0,1,11.1,2.0,2.0,171.0,109.0,10,6,5132.0,800830.3571428572,954727.2485004284
3,0,708000.0,1,11.1,1.0,2.0,585.0,97.0,10,6,5132.0,800830.3571428572,1230138.0753138075
4,0,965000.0,3,11.1,1.0,4.0,851.0,126.0,10,6,5132.0,800830.3571428572,926446.4285714285
3,0,680000.0,1,11.1,1.0,3.0,551.0,126.0,10,6,5132.0,800830.3571428572,835755.9861111111
3,0,770000.0,3,11.1,1.0,3.0,602.0,603.0,10,6,5132.0,800830.3571428572,954727.2485004284
3,0,923000.0,1,11.1,1.0,2.0,740.0,126.0,10,6,5132.0,800830.3571428572,1230138.0753138075
4,0,693000.0,3,11.1,2.0,4.0,315.0,170.0,10,6,5132.0,800830.3571428572,823000.0
3,0,620000.0,3,11.1,2.0,2.0,276.0,100.0,10,6,5132.0,800830.3571428572,814500.0
3,0,728500.0,1,11.1,1.0,1.0,531.0,157.0,10,6,5132.0,800830.3571428572,882018.9300411523
3,0,931000.0,1,11.1,2.0,1.0,590.0,160.0,10,6,5132.0,800830.3571428572,954727.2485004284
3,0,988000.0,1,11.1,1.0,4.0,715.0,126.0,10,6,5132.0,800830.3571428572,835755.9861111111
3,0,590000.0,1,11.1,1.0,2.0,561.0,126.0,10,6,5132.0,800830.3571428572,988164.0
2,0,610000.0,1,11.1,1.0,2.0,691.0,126.0,10,6,5132.0,800830.3571428572,1504065.2173913044
3,0,815000.0,1,11.1,2.0,3.0,555.0,130.0,10,6,5132.0,800830.3571428572,954727.2485004284
4,0,970000.0,1,11.1,1.0,2.0,708.0,126.0,10,6,5132.0,800830.3571428572,1230138.0753138075
4,0,760000.0,1,11.1,1.0,3.0,668.0,126.0,10,6,5132.0,800830.3571428572,814500.0
4,1,847500.0,1,11.1,3.0,1.0,252.0,126.0,10,6,5132.0,800830.3571428572,1504065.2173913044
4,0,1200000.0,3,11.1,1.0,4.0,633.0,158.0,10,6,5132.0,800830.3571428572,1504065.2173913044
3,0,700000.0,3,11.1,1.0,1.0,557.0,126.0,10,6,5132.0,800830.3571428572,814500.0
3,0,625000.0,0,11.1,1.0,1.0,536.0,126.0,10,6,5132.0,800830.3571428572,814500.0
2,2,292000.0,1,11.1,1.0,1.0,153.0,70.0,10,6,5132.0,800830.3571428572,882018.9300411523
2,2,599000.0,1,6.3,1.0,1.0,0.0,76.0,26,5,4836.0,1496715.7894736843,1368163.4483282676
2,2,550000.0,4,6.3,1.0,0.0,861.0,126.0,26,5,4836.0,1496715.7894736843,1198408.2926829269
3,2,995000.0,1,6.3,2.0,2.0,0.0,100.0,26,5,4836.0,1496715.7894736843,1888843.9119878605
3,1,1205000.0,1,6.3,2.0,2.0,101.0,105.0,26,5,4836.0,1496715.7894736843,1368163.4483282676
3,0,1939000.0,1,6.3,2.0,2.0,296.0,150.0,26,5,4836.0,1496715.7894736843,1368163.4483282676
1,2,421500.0,1,6.3,1.0,0.0,0.0,126.0,26,5,4836.0,1496715.7894736843,1018521.6284987277
3,0,1870000.0,1,6.3,1.0,1.0,217.0,116.0,26,5,4836.0,1496715.7894736843,1313986.5477707007
2,2,678000.0,1,6.3,1.0,2.0,0.0,126.0,26,5,4836.0,1496715.7894736843,954727.2485004284
3,1,1918000.0,3,6.3,2.0,2.0,0.0,165.0,26,5,4836.0,1496715.7894736843,1368163.4483282676
2,2,660000.0,3,6.3,1.0,1.0,0.0,126.0,26,5,4836.0,1496715.7894736843,954727.2485004284
3,0,2050000.0,1,6.3,2.0,1.0,205.0,116.0,26,5,4836.0,1496715.7894736843,1888843.9119878605
2,2,700000.0,4,6.3,1.0,2.0,0.0,126.0,26,5,4836.0,1496715.7894736843,1368163.4483282676
2,2,3625000.0,1,6.3,2.0,2.0,0.0,126.0,26,5,4836.0,1496715.7894736843,1368163.4483282676
4,0,3000000.0,4,6.3,2.0,2.0,1581.0,126.0,26,5,4836.0,1496715.7894736843,1368163.4483282676
5,0,1525000.0,0,6.3,2.0,2.0,693.0,126.0,26,5,4836.0,1496715.7894736843,1368163.4483282676
3,2,735000.0,0,6.3,2.0,1.0,2113.0,14.0,26,5,4836.0,1496715.7894736843,1888843.9119878605
2,2,825000.0,1,6.3,1.0,1.0,0.0,126.0,26,5,4836.0,1496715.7894736843,1368163.4483282676
3,1,1586000.0,1,6.3,2.0,2.0,246.0,126.0,26,5,4836.0,1496715.7894736843,1504065.2173913044
2,2,645000.0,1,6.3,1.0,1.0,0.0,126.0,26,5,4836.0,1496715.7894736843,1888843.9119878605
1,0,1435000.0,3,6.3,2.0,1.0,144.0,107.0,26,5,4836.0,1496715.7894736843,1368163.4483282676
1,2,280000.0,0,6.3,1.0,1.0,0.0,38.0,26,5,4836.0,1496715.7894736843,954727.2485004284
